번호,수어 표제어 번호,수형설명,한국어 대응표현,결합정보,대/중 분류
1,24705,두 주먹을 마주 보게 모로 세웠다가 오른 주먹을 왼 주먹 위에 올려 놓는다.,"복직,복임",,일상생활 수어 > 기타
2,24704,오른 주먹의 1‧5지 끝을 맞대어 왼 손바닥에 대고 전후로 약간 움직이며 오른쪽으로 이동시킨다.,"이론,쓰다",,일상생활 수어 > 기타
3,24701,오른 주먹의 4지를 펴서 끝을 오른쪽 입가에 댄다.,(맛이)짜다,,일상생활 수어 > 사회생활 > 인간관계
4,24049,오른 주먹을 1·5지 옆면이 코로 향하게 하여 좌우로 2회 움직인다.,할까봐,,일상생활 수어 > 기타
5,24047,배꼽 앞에서 오른손의 1‧5지를 동그랗게 오므린다.,"(마음이)좁다,옹졸하다,옹하다",,일상생활 수어 > 개념 > 모양
6,24041,두 손으로 바지를 잡고 배 밑에서 허리높이까지 올리는 동작을 한다(바지를 입는 경우).,(바지를)입다,,일상생활 수어 > 의생활 > 의복 착용
7,24037,"오른 주먹의 1지를 펴서 치아를 가리킨 다음, 두 손바닥을 이마 중앙에서 겹쳤다가 양옆으로 돌린다.",인도(공화국),,일상생활 수어 > 나라명 및 지명 > 나라명
8,24036,손바닥이 밖으로 향하게 세운 오른손을 좌우로 흔든다.,"아니다,않다",,일상생활 수어 > 기타
9,24034,오른 주먹의 4지를 펴서 등이 밖으로 향하게 세운다.,"여자,여성,여",,일상생활 수어 > 기타
10,24033,손끝이 오른쪽으로 향하게 모로 세운 왼 손바닥에 오른손의 5지를 대고 나머지 손가락을 왼 손등에 대고 좌우로 반원을 그리며 문지른다.,설거지,,일상생활 수어 > 주생활 > 가사 행위
11,24032,왼손을 손등이 밖으로 손끝이 오른쪽으로 향하게 배 앞에 내놓고 오른손을 손등이 밖으로 손끝이 왼쪽으로 향하게 하여 배에 댔다가 내밀어 왼 손바닥에 댄다.,배부르다,,일상생활 수어 > 기타
12,24030,오른 주먹의 1지를 펴서 구부려 왼 주먹의 4지 등에 걸어 안으로 당긴다(남자의 경우).,"(여자를)유혹, 유혹하다",,일상생활 수어 > 사회생활 > 사회 활동
13,24029,"오른 주먹의 1·2·3지를 펴서 끝이 왼쪽으로, 등이 밖으로 향하게 한다.","삼,셋",,일상생활 수어 > 개념 > 수
14,24028,손등이 위로 향하게 쥔 왼 주먹의 손목등에 오른 주먹의 1지를 펴서 모로 세워 댔다가 시계 바늘이 도는 방향으로 한 바퀴 돌려 다시 댄다(한 시간을 나타내는 경우).,"시간,한 시간",,일상생활 수어 > 개념 > 시간
15,24026,두 손으로 밧줄을 잡고 있다가 놓치는 동작 (밧줄을 놓는 경우).,놓아주다,,일상생활 수어 > 기타
16,24024,오른 주먹의 1·5지를 펴서 모로 세워 좌우로 약간 흔들며 오른쪽으로 이동시킨다,"들,여러,여러가지",,일상생활 수어 > 경제생활 > 경제 행위 장소
17,24022,"손끝이 밖으로, 손등이 옆으로 향하게 편 두 손의 손바닥을 맞댔다가 양옆으로 벌린다.","시작,개시,개최,거행,시발,착수,출발,열다,이행,하수",,일상생활 수어 > 개념 > 순서
18,24020,오른 주먹의 1‧5지를 펴서 끝을 맞대고 옆면을 입에 댔다가 벌리며 동시에 입을 벌린다.,"틈,(바닥에 생기는)균열",,일상생활 수어 > 기타
19,24019,왼 주먹의 5지를 펴서 가슴 중앙에 세우고 그 끝을 오른 손바닥으로 눌러 내린다.,"참다,견디다,인내,자제,억제",,일상생활 수어 > 기타
20,24015,두 주먹의 1지를 펴서 오른쪽 뺨에 ‘X’자로 맞댄다.,의리,,일상생활 수어 > 기타
21,24012,오른손의 1·5지 끝을 맞대어 동그라미를 만들어 왼 손바닥 위쪽에 위치하게 하여 두 손을 동시에 안으로 당기며 오른손의 손목을 안으로 돌린다.,대가,,일상생활 수어 > 기타
22,24010,"오른 주먹의 1·2지를 펴서 끝 바닥으로, 손등이 밖으로 손끝이 오른쪽으로 향하게 편 왼 손등을 두 번 두드린다(진단을 받는 경우).",병원,,일상생활 수어 > 기타
23,24009,오른 주먹의 1·2지를 펴서 끝이 밖으로 향하게 하여 두 번 붙였다 뗀다.,엿,,일상생활 수어 > 식생활 > 음식
24,24007,주먹을 쥔 두 팔의 팔꿈치를 어깨에 수평이 되게 올리고 팔을 전후로 번갈아 힘차게 흔든다.,씩씩하다,,일상생활 수어 > 기타
25,23999,"손등이 위로 손끝이 오른쪽으로 향하게 편 왼 손바닥 밑으로, 손등이 위로 손끝이 밖으로 향하게 편 오른손을 내민다.",지하,,일상생활 수어 > 주생활 > 주택 구성
26,23996,두 손을 펴서 손바닥이 위로 손끝이 밖으로 향하게 하여 상하로 엇갈리게 두 번 움직인다.,"비교,견주다,대조",,일상생활 수어 > 기타
27,23992,4·5지를 편 오른 주먹의 5지 끝을 코끝에 댔다가 약간 위로 내민다(선행 따위가 월등한 경우).,"훌륭하다,장하다,우수하다",,일상생활 수어 > 기타
28,23991,"손끝이 밖으로 손바닥이 위로 향하게 편 두 손을 비스듬히 위로 올리면서 내민 다음, 오른 손의 1·5지 끝을 맞대어 동그라미를 만들어 좌우로 가볍게 두 번 흔든다.",헌금,바치다+돈,일상생활 수어 > 기타
29,23990,오른 손바닥을 이마에 댔다가 내리며 손끝을 모아 쥐고 손등이 위로 향하게 편 왼 손바닥 밑으로 내밀어 올리며 편다.,항복,,일상생활 수어 > 기타
30,23987,"두 손을 펴서 손끝이 위로 손등이 밖으로 향하게 얼굴 앞에 세워 한 번 당긴 다음, 왼 주먹의 5지를 펴서 바닥이 밖으로 향하게  세우고, 손등이 위로 향하게 편 오른손의 4지 옆면으로 왼손의 5지를 친다.","퇴학,퇴교",학교+파면,일상생활 수어 > 기타
31,23986,"손바닥이 위로 향하게 편 두 손을 가슴 앞에서 전후로 놓이게 하여 엇갈리게 두 번 올렸다 내린 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈춘다.",터미널,고속버스+곳,일상생활 수어 > 사회생활 > 교통
32,23983,4지만 굽히고 손등이 밖으로 향하게 펴서 세운 오른손의 3지 끝을 오른쪽 관자놀이에 댄다.,철학,지문자 ‘ㅊ’(‘철학’의 ‘ㅊ’)/지식,일상생활 수어 > 교육 > 전공과 교과목
33,23981,오른 주먹의 1지를 펴서 끝이 왼쪽으로 향하게 하여 ‘千’(천)자를 쓴다.,"천,일천",,일상생활 수어 > 개념 > 수
34,23976,오른손의 1지를 세워 옆면을 입 중앙에 대고 2지를 5지에 대고 두 번 튕긴다.,"중앙,센터",,일상생활 수어 > 개념 > 위치 및 방향
35,23975,5지를 펴서 모로 세운 왼 주먹 밑에 오른 주먹의 손목을 댔다가 오른쪽으로 돌리며 손가락을 펴서 끝이 아래로 향하게 한다.,"종류,계통,종",,일상생활 수어 > 기타
36,23974,손바닥이 위로 손끝이 오른쪽으로 향하게 편 왼손바닥에 손끝이 밖으로 향하게 모로 세운 오른손을 ‘+’자로 대고 안으로 당긴다.,"절반,반절",,일상생활 수어 > 개념 > 정도
37,23972,"왼 주먹의 1지를 펴서 바닥이 위로 향하게 하고 그 바닥에 오른 주먹의 1지를 펴서 바닥을 댄 다음, 오른 주먹의 1·5지를 펴서 오른쪽으로 뒤집는다.","맞지 않다,어울리지 않다,적합하지 않다,조화롭지 않다",적합하다+아니다,일상생활 수어 > 기타
38,23971,손등이 위로 향한 두 손의 1·5지 끝을 맞대고 상하로 엇갈리게 올렸다 내린다.,저울,,일상생활 수어 > 식생활 > 식사 및 조리
39,23970,오른 주먹의 5지를 펴서 왼손바닥에 세운다(000부 장관이라고 하는 경우에 사용함).,장관,,일상생활 수어 > 정치와 행정 > 정치 및 행정 주체
40,23967,"바닥이 밖으로 향하게 쥔 오른 주먹을 두 번 아래로 돌려 내린 다음, 오른 주먹의 5지를 펴서 왼 손바닥에 세운다.",의장,,일상생활 수어 > 기타
41,23966,"두 주먹의 1·5지를 펴서 바닥이 밖으로, 1지 끝이 위로 향하게 하여 오른손을 왼손보다 약간 높여 1·5지를 맞댔다 떼면서 오른쪽으로 비스듬히 올린다.",유행,,일상생활 수어 > 기타
42,23962,오른손의 1·5지 끝을 맞대어 동그라미를 만들어 손바닥이 밖으로 향하게 세운다.,"십,열",,일상생활 수어 > 개념 > 수
43,23960,오른 주먹의 1·5지를 펴서 약간 구부려 끝을 턱에 댄다.,"싫다,거부,거절,난색",,일상생활 수어 > 기타
44,23959,1지를 펴서 끝이 밖으로 향하게 모로 세운 왼 주먹의 손목에 1지만 편 오른 주먹을 4지 밑면이 닿게 튕기며 앞으로 내민다.,"승리,승리하다,이기다",,일상생활 수어 > 사회생활 > 사회 활동
45,23958,왼손을 펴서 손바닥이 오른쪽으로 향하게 모로 세우고 오른 주먹의 1지를 펴서 반쯤 구부려 끝으로 왼 손바닥을 두 번 두드린다.,"서두르다,긴급,독촉,재촉,응급,급하다,시급하다",,일상생활 수어 > 기타
46,23957,"왼 주먹의 1지와 2지 사이를 벌려 끝이 오른쪽으로 향하게 모로 세우고, 오른 주먹의 1·2지를 펴서 끝을 왼 주먹의 2지 위에 두 번 올려 댄다.",서대문,,일상생활 수어 > 기타
47,23952,손바닥이 위로 향하게 편 두 손의 손가락을 약간 구부려 서로 끼고 좌우로 흔든다.,"복잡하다,만원,혼잡,붐비다",,일상생활 수어 > 기타
48,23951,손등이 위로 향하게 편 왼손 밑에 오른 손가락 끝을 댔다가 아래로 내리면서 붙인다.,"복사,카피",,일상생활 수어 > 기타
49,23949,오른 손의 1·2·5지 끝을 붙여 끝이 밖으로 향하게 한다.,"백,일백",,일상생활 수어 > 개념 > 수
50,23948,오른 주먹의 1·2·5지를 펴서 약간 구부려 턱 오른쪽 목살을 잡는다.,배신(당하다),,일상생활 수어 > 기타
51,23947,왼쪽 옆구리에 끼고 있는 신문을 오른손으로 잡아 빼서 밖으로 던지는 동작을 한다.(신문을 돌리는 경우),배달,,일상생활 수어 > 경제생활 > 경제 행위
52,23946,두 주먹의 1지를 펴서 얼굴 왼쪽에서 ‘+’자로 맞대어 오른쪽으로 돌려 세운다.,"무조건,무작정",,일상생활 수어 > 기타
